category,action,count
Coat,heal,462
Coat,jump,462
Coat,ladder,462
Coat,rope,462
Coat,shoot1,462
Coat,shoot2,462
Coat,shootF,462
Coat,sit,462
Coat,stabO1,462
Coat,stabO2,462
Coat,stabOF,462
Coat,stabT1,462
Coat,stabT2,462
Coat,stabTF,462
Coat,stand1,462
Coat,stand2,462
Coat,swingO1,462
Coat,swingO2,462
Coat,swingO3,462
Coat,swingOF,462
Coat,swingP1,462
Coat,swingP2,462
Coat,swingPF,462
Coat,swingT1,462
Coat,swingT2,462
Coat,swingT3,462
Coat,swingTF,462
Coat,walk1,462
Coat,walk2,462
Coat,prone,461
Coat,proneStab,461
Face,angry,536
Face,bewildered,536
Face,blaze,536
Face,blink,536
Face,bowing,536
Face,cheers,536
Face,chu,536
Face,cry,536
Face,dam,536
Face,default,536
Face,despair,536
Face,glitter,536
Face,hit,536
Face,hot,536
Face,hum,536
Face,love,536
Face,oops,536
Face,pain,536
Face,shine,536
Face,smile,536
Face,stunned,536
Face,troubled,536
Face,vomit,536
Face,wink,536
Glove,alert,235
Glove,fly,235
Glove,heal,235
Glove,jump,235
Glove,ladder,235
Glove,prone,235
Glove,proneStab,235
Glove,shoot1,235
Glove,shoot2,235
Glove,shootF,235
Glove,sit,235
Glove,stabO1,235
Glove,stabO2,235
Glove,stabOF,235
Glove,stabT1,235
Glove,stabT2,235
Glove,stabTF,235
Glove,stand1,235
Glove,stand2,235
Glove,swingO1,235
Glove,swingO2,235
Glove,swingO3,235
Glove,swingOF,235
Glove,swingP1,235
Glove,swingP2,235
Glove,swingPF,235
Glove,swingT1,235
Glove,swingT2,235
Glove,swingT3,235
Glove,swingTF,235
Glove,walk1,235
Glove,walk2,235
Glove,rope,156
Hair,alert,1518
Hair,backDefault,1518
Hair,default,1518
Hair,fly,1518
Hair,heal,1518
Hair,jump,1518
Hair,ladder,1518
Hair,prone,1518
Hair,proneStab,1518
Hair,rope,1518
Hair,shoot1,1518
Hair,shoot2,1518
Hair,shootF,1518
Hair,sit,1518
Hair,stabO1,1518
Hair,stabO2,1518
Hair,stabOF,1518
Hair,stabT1,1518
Hair,stabT2,1518
Hair,stabTF,1518
Hair,stand1,1518
Hair,stand2,1518
Hair,swingO1,1518
Hair,swingO2,1518
Hair,swingO3,1518
Hair,swingOF,1518
Hair,swingP1,1518
Hair,swingP2,1518
Hair,swingPF,1518
Hair,swingT1,1518
Hair,swingT2,1518
Hair,swingT3,1518
Hair,swingTF,1518
Hair,walk1,1518
Hair,walk2,1518
Hair,back,1
Longcoat,alert,491
Longcoat,fly,491
Longcoat,heal,491
Longcoat,jump,491
Longcoat,ladder,491
Longcoat,prone,491
Longcoat,proneStab,491
Longcoat,rope,491
Longcoat,shoot1,491
Longcoat,shoot2,491
Longcoat,shootF,491
Longcoat,sit,491
Longcoat,stabO1,491
Longcoat,stabO2,491
Longcoat,stabT1,491
Longcoat,stabT2,491
Longcoat,stabTF,491
Longcoat,stand1,491
Longcoat,stand2,491
Longcoat,swingO1,491
Longcoat,swingO2,491
Longcoat,swingO3,491
Longcoat,swingOF,491
Longcoat,swingP1,491
Longcoat,swingP2,491
Longcoat,swingPF,491
Longcoat,swingT1,491
Longcoat,swingT2,491
Longcoat,swingT3,491
Longcoat,swingTF,491
Longcoat,walk1,491
Longcoat,walk2,491
Longcoat,stabOF,490
Pants,alert,404
Pants,fly,404
Pants,heal,404
Pants,jump,404
Pants,ladder,404
Pants,prone,404
Pants,proneStab,404
Pants,rope,404
Pants,shoot1,404
Pants,shoot2,404
Pants,shootF,404
Pants,sit,404
Pants,stabO1,404
Pants,stabO2,404
Pants,stabOF,404
Pants,stabT1,404
Pants,stabT2,404
Pants,stabTF,404
Pants,stand1,404
Pants,stand2,404
Pants,swingO1,404
Pants,swingO2,404
Pants,swingO3,404
Pants,swingOF,404
Pants,swingP1,404
Pants,swingP2,404
Pants,swingPF,404
Pants,swingT1,404
Pants,swingT2,404
Pants,swingT3,404
Pants,swingTF,404
Pants,walk1,404
Pants,walk2,404
PetEquip,5000006,16
PetEquip,5000011,15
PetEquip,5000036,15
PetEquip,5000008,13
PetEquip,5000003,12
PetEquip,5000012,12
PetEquip,5000020,12
PetEquip,5000030,12
PetEquip,5000031,12
PetEquip,5000032,12
PetEquip,5000033,12
PetEquip,5000002,11
PetEquip,5000007,11
PetEquip,5000009,11
PetEquip,5000015,11
PetEquip,5000022,11
PetEquip,5000023,11
PetEquip,5000024,11
PetEquip,5000025,11
PetEquip,5000026,11
PetEquip,5000029,11
PetEquip,5000039,11
PetEquip,5000040,11
PetEquip,5000041,11
PetEquip,5000043,11
PetEquip,5000045,11
PetEquip,5000048,11
PetEquip,5000049,11
PetEquip,5000050,11
PetEquip,5000051,11
PetEquip,5000052,11
PetEquip,5000053,11
PetEquip,5000055,11
PetEquip,5000058,11
PetEquip,5000000,10
PetEquip,5000001,10
PetEquip,5000014,10
PetEquip,5000017,10
PetEquip,5000044,10
PetEquip,5000010,2
PetEquip,5000013,1
PetEquip,5000027,1
PetEquip,5000042,1
PetEquip,5000046,1
PetEquip,5000060,1
PetEquip,5000064,1
PetEquip,5000066,1
Shield,alert,56
Shield,fly,56
Shield,heal,56
Shield,jump,56
Shield,prone,56
Shield,proneStab,56
Shield,stabO1,56
Shield,stabO2,56
Shield,stabOF,56
Shield,stand1,56
Shield,swingO1,56
Shield,swingO2,56
Shield,swingO3,56
Shield,swingOF,56
Shield,walk1,56
Shield,ladder,35
Shield,rope,35
Shoes,alert,416
Shoes,fly,416
Shoes,heal,416
Shoes,jump,416
Shoes,ladder,416
Shoes,prone,416
Shoes,proneStab,416
Shoes,rope,416
Shoes,shoot1,416
Shoes,shoot2,416
Shoes,shootF,416
Shoes,sit,416
Shoes,stabO1,416
Shoes,stabO2,416
Shoes,stabOF,416
Shoes,stabT1,416
Shoes,stabT2,416
Shoes,stabTF,416
Shoes,stand1,416
Shoes,stand2,416
Shoes,swingO1,416
Shoes,swingO2,416
Shoes,swingO3,416
Shoes,swingOF,416
Shoes,swingP1,416
Shoes,swingP2,416
Shoes,swingPF,416
Shoes,swingT1,416
Shoes,swingT2,416
Shoes,swingT3,416
Shoes,swingTF,416
Shoes,walk1,416
Shoes,walk2,416
TamingMob,fly,31
TamingMob,jump,31
TamingMob,prone,31
TamingMob,stand1,31
TamingMob,stand2,31
TamingMob,tired,31
TamingMob,walk1,31
TamingMob,walk2,31
TamingMob,ladder,30
TamingMob,rope,30
TamingMob,float,2
TamingMob,1902000,1
TamingMob,1902001,1
TamingMob,1902002,1
TamingMob,1902005,1
TamingMob,1902006,1
TamingMob,1902007,1
TamingMob,1902008,1
TamingMob,1902009,1
TamingMob,1902010,1
TamingMob,1902011,1
TamingMob,1902012,1
TamingMob,1902015,1
TamingMob,1902016,1
TamingMob,1902017,1
TamingMob,1902018,1
TamingMob,1902020,1
TamingMob,1902021,1
TamingMob,1902036,1
TamingMob,1902038,1
TamingMob,1902039,1
TamingMob,1902040,1
TamingMob,1902041,1
TamingMob,1902042,1
TamingMob,alert2,1
TamingMob,alert3,1
TamingMob,cannon,1
TamingMob,coolingeffect,1
TamingMob,fireburner,1
TamingMob,torpedo,1
Weapon,alert,1001
Weapon,fly,1001
Weapon,jump,1001
Weapon,prone,1001
Weapon,proneStab,1001
Weapon,walk1,745
Weapon,stabO1,731
Weapon,stabO2,714
Weapon,stand1,679
Weapon,stabOF,605
Weapon,heal,593
Weapon,swingO3,572
Weapon,swingO2,568
Weapon,swingO1,530
Weapon,swingOF,460
Weapon,swingT1,361
Weapon,swingT2,360
Weapon,stand2,327
Weapon,swingT3,285
Weapon,walk2,264
Weapon,stabT1,252
Weapon,shoot1,250
Weapon,shootF,244
Weapon,stabT2,211
Weapon,swingP2,211
Weapon,swingPF,210
Weapon,swingP1,202
Weapon,stabTF,200
Weapon,swingTF,183
Weapon,shoot2,137
Weapon,ladder,133
Weapon,30,116
Weapon,32,116
Weapon,33,116
Weapon,31,115
Weapon,rope,115
Weapon,38,113
Weapon,37,112
Weapon,40,93
Weapon,41,93
Weapon,42,92
Weapon,47,91
Weapon,44,86
Weapon,43,82
Weapon,sit,79
Weapon,45,78
Weapon,46,72
Weapon,48,24
Weapon,49,23
Weapon,coolingeffect,1
Weapon,doublefire,1
Weapon,fake,1
Weapon,fireburner,1
Weapon,homing,1
Weapon,weekly,1
