id,name,frame_count,width,height,origin_x,origin_y,first_frame
03010026,,6,118,152,41,89,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Item\Item.wz\Install\0301.img\03010026\effect\0.png
03010028,,1,178,130,164,78,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Item\Item.wz\Install\0301.img\03010028\effect\0.png
03011000,,1,75,141,47,1,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Item\Item.wz\Install\0301.img\03011000\effect\0.png
03010040,,1,89,96,24,48,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Item\Item.wz\Install\0301.img\03010040\effect\0.png
03010041,,1,87,120,24,70,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Item\Item.wz\Install\0301.img\03010041\effect\0.png
03010045,,1,82,121,30,73,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Item\Item.wz\Install\0301.img\03010045\effect\0.png
03012005,,8,88,114,32,66,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Item\Item.wz\Install\0301.img\03012005\effect\0.png
03010046,,19,122,105,82,55,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Item\Item.wz\Install\0301.img\03010046\effect\0.png
03010047,,19,122,105,82,55,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Item\Item.wz\Install\0301.img\03010047\effect\0.png
03010072,,4,113,114,56,63,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Item\Item.wz\Install\0301.img\03010072\effect\0.png
03010057,,16,124,150,57,84,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Item\Item.wz\Install\0301.img\03010057\effect\0.png
03010058,,16,124,150,57,84,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Item\Item.wz\Install\0301.img\03010058\effect\0.png
03010060,,1,71,44,26,40,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Item\Item.wz\Install\0301.img\03010060\effect\0.png
03010061,,1,164,174,60,170,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Item\Item.wz\Install\0301.img\03010061\effect\0.png
03010062,,1,62,42,26,40,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Item\Item.wz\Install\0301.img\03010062\effect\0.png
03010063,,1,92,84,36,71,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Item\Item.wz\Install\0301.img\03010063\effect\0.png
03010064,,9,75,54,13,52,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Item\Item.wz\Install\0301.img\03010064\effect\0.png
03010065,,1,102,110,56,108,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Item\Item.wz\Install\0301.img\03010065\effect\0.png
03010066,,1,86,88,29,84,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Item\Item.wz\Install\0301.img\03010066\effect\0.png
03010067,,1,40,36,21,34,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Item\Item.wz\Install\0301.img\03010067\effect\0.png
03010043,,20,151,110,48,55,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Item\Item.wz\Install\0301.img\03010043\effect\0.png
03010071,,1,204,110,99,58,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Item\Item.wz\Install\0301.img\03010071\effect\0.png
03010085,,16,135,162,43,114,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Item\Item.wz\Install\0301.img\03010085\effect\0.png
03010098,,1,57,31,19,-1,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Item\Item.wz\Install\0301.img\03010098\effect\0.png
03010099,,1,135,82,70,22,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Item\Item.wz\Install\0301.img\03010099\effect\0.png
03010073,,8,169,125,88,66,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Item\Item.wz\Install\0301.img\03010073\effect\0.png
03010101,,1,133,103,65,48,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Item\Item.wz\Install\0301.img\03010101\effect\0.png
03010106,,6,113,84,72,35,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Item\Item.wz\Install\0301.img\03010106\effect\0.png
03010111,,1,100,119,42,62,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Item\Item.wz\Install\0301.img\03010111\effect\0.png
03010080,,1,138,141,54,137,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Item\Item.wz\Install\0301.img\03010080\effect\0.png
03010081,,1,50,16,22,13,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Item\Item.wz\Install\0301.img\03010081\effect\0.png
03010082,,1,50,16,22,13,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Item\Item.wz\Install\0301.img\03010082\effect\0.png
03010083,,1,50,16,22,13,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Item\Item.wz\Install\0301.img\03010083\effect\0.png
03010084,,1,50,16,22,13,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Item\Item.wz\Install\0301.img\03010084\effect\0.png
03010092,,20,151,110,48,55,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Item\Item.wz\Install\0301.img\03010092\effect\0.png
03010116,,4,119,67,43,20,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Item\Item.wz\Install\0301.img\03010116\effect\0.png
03010069,,1,148,99,111,35,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Item\Item.wz\Install\0301.img\03010069\effect\0.png
03012010,,1,69,57,18,9,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Item\Item.wz\Install\0301.img\03012010\effect\0.png
03012011,,1,66,39,28,-9,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Item\Item.wz\Install\0301.img\03012011\effect\0.png
