img,path,frame_count,w_range,h_range,first_frame
CharacterEff.img,1112903/2,2,7-11,6-9,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\CharacterEff.img\1112903\2\0.png
CharacterEff.img,1112903/3,2,5-9,5-8,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\CharacterEff.img\1112903\3\0.png
CharacterEff.img,1112904/0,2,11-15,10-13,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\CharacterEff.img\1112904\0\0.png
CharacterEff.img,1112904/1,2,9-13,8-10,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\CharacterEff.img\1112904\1\0.png
CharacterEff.img,1112904/2,2,14-15,13-15,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\CharacterEff.img\1112904\2\0.png
CharacterEff.img,1112904/3,2,7-11,6-9,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\CharacterEff.img\1112904\3\0.png
CharacterEff.img,1112904/4,2,5-9,5-8,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\CharacterEff.img\1112904\4\0.png
CharacterEff.img,1112905/0,3,7-11,7-10,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\CharacterEff.img\1112905\0\0.png
CharacterEff.img,1051188/0,1,6-6,5-5,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\CharacterEff.img\1051188\0\0.png
CharacterEff.img,1051188/1,1,3-3,3-3,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\CharacterEff.img\1051188\1\0.png
CharacterEff.img,1052203/0,1,5-5,4-4,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\CharacterEff.img\1052203\0\0.png
CharacterEff.img,1052203/1,1,5-5,4-4,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\CharacterEff.img\1052203\1\0.png
CharacterEff.img,1052203/2,1,5-5,4-4,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\CharacterEff.img\1052203\2\0.png
CharacterEff.img,1052203/3,1,5-5,4-4,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\CharacterEff.img\1052203\3\0.png
CharacterEff.img,1052203/4,1,5-5,4-4,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\CharacterEff.img\1052203\4\0.png
CharacterEff.img,1052203/5,1,5-5,4-4,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\CharacterEff.img\1052203\5\0.png
CharacterEff.img,1062114/0,1,11-11,10-10,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\CharacterEff.img\1062114\0\0.png
CharacterEff.img,1062114/1,1,11-11,10-10,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\CharacterEff.img\1062114\1\0.png
CharacterEff.img,1102236/0,1,19-19,19-19,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\CharacterEff.img\1102236\0\0.png
CharacterEff.img,1102236/1,1,12-12,12-12,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\CharacterEff.img\1102236\1\0.png
CharacterEff.img,1102236/2,1,17-17,15-15,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\CharacterEff.img\1102236\2\0.png
CharacterEff.img,1102236/3,1,13-13,13-13,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\CharacterEff.img\1102236\3\0.png
CharacterEff.img,1102236/4,1,7-7,7-7,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\CharacterEff.img\1102236\4\0.png
CharacterEff.img,1102236/5,1,7-7,7-7,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\CharacterEff.img\1102236\5\0.png
CharacterEff.img,1102236/6,1,14-14,11-11,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\CharacterEff.img\1102236\6\0.png
CharacterEff.img,1102236/7,1,9-9,9-9,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\CharacterEff.img\1102236\7\0.png
CharacterEff.img,1102236/8,1,2-2,2-2,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\CharacterEff.img\1102236\8\0.png
CharacterEff.img,1032063/0,1,46-46,19-19,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\CharacterEff.img\1032063\0\0.png
CharacterEff.img,1112916/0,32,63-90,34-54,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\CharacterEff.img\1112916\0\0.png
CharacterEff.img,1072437/0,1,6-6,7-7,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\CharacterEff.img\1072437\0\0.png
CharacterEff.img,1072437/1,1,6-6,7-7,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\CharacterEff.img\1072437\1\0.png
CharacterEff.img,1072437/2,1,7-7,8-8,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\CharacterEff.img\1072437\2\0.png
