img,path,frame_count,w_range,h_range,first_frame
BasicEff.img,NoRed0,10,22-31,32-33,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\BasicEff.img\NoRed0\0.png
BasicEff.img,NoRed1,10,25-37,37-39,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\BasicEff.img\NoRed1\0.png
BasicEff.img,NoViolet0,10,22-31,32-33,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\BasicEff.img\NoViolet0\0.png
BasicEff.img,NoViolet1,10,25-37,37-39,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\BasicEff.img\NoViolet1\0.png
BasicEff.img,QuestAlert/Appear,13,115-197,103-186,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\BasicEff.img\QuestAlert\Appear\0.png
BasicEff.img,QuestAlert/Default,6,63-63,61-64,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\BasicEff.img\QuestAlert\Default\0.png
BasicEff.img,QuestClear,11,51-121,19-118,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\BasicEff.img\QuestClear\0.png
BasicEff.img,SoulRush,6,48-101,43-103,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\BasicEff.img\SoulRush\0.png
BasicEff.img,Summoned,4,35-64,57-165,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\BasicEff.img\Summoned\0.png
BasicEff.img,Teleport,4,33-62,57-172,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\BasicEff.img\Teleport\0.png
BasicEff.img,TombUpgrade,30,150-174,150-174,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\BasicEff.img\TombUpgrade\0.png
BasicEff.img,Transform,7,50-108,56-98,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\BasicEff.img\Transform\0.png
BasicEff.img,TransformOnLadder,7,50-108,56-98,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\BasicEff.img\TransformOnLadder\0.png
BasicEff.img,VerticalJump,6,7-64,6-86,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\BasicEff.img\VerticalJump\0.png
BasicEff.img,Wedding,16,66-202,28-144,C:\Users\GGPC\OneDrive\Desktop\83 complete\Base.wz\Effect\Effect.wz\BasicEff.img\Wedding\0.png
